
2024/12/12 (12:49:07) | ===> btop++ v.1.4.0
2024/12/12 (12:49:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (19:17:49) | ===> btop++ v.1.4.0
2024/12/30 (19:17:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (18:43:55) | ===> btop++ v.1.4.0
2024/12/31 (18:43:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/01 (10:46:09) | ===> btop++ v.1.4.0
2025/01/01 (10:46:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (11:02:00) | ===> btop++ v.1.4.0
2025/01/06 (11:02:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (09:58:51) | ===> btop++ v.1.4.0
2025/01/07 (09:58:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (09:59:04) | ===> btop++ v.1.4.0
2025/01/07 (09:59:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (13:27:01) | ===> btop++ v.1.4.0
2025/01/07 (13:27:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (13:27:37) | ===> btop++ v.1.4.0
2025/01/07 (13:27:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (14:22:45) | ===> btop++ v.1.4.0
2025/01/08 (14:22:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (18:04:31) | ===> btop++ v.1.4.0
2025/01/08 (18:04:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (19:14:36) | ===> btop++ v.1.4.0
2025/01/08 (19:14:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (17:53:14) | ===> btop++ v.1.4.0
2025/01/09 (17:53:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (16:57:29) | ===> btop++ v.1.4.0
2025/01/11 (16:57:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (12:22:03) | ===> btop++ v.1.4.0
2025/01/12 (12:22:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (14:05:34) | ===> btop++ v.1.4.0
2025/01/12 (14:05:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (14:05:36) | ===> btop++ v.1.4.0
2025/01/12 (14:05:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (14:05:55) | ===> btop++ v.1.4.0
2025/01/12 (14:05:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (14:07:07) | ===> btop++ v.1.4.0
2025/01/12 (14:07:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/14 (09:31:59) | ===> btop++ v.1.4.0
2025/01/14 (09:31:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/15 (09:56:50) | ===> btop++ v.1.4.0
2025/01/15 (09:56:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (12:42:54) | ===> btop++ v.1.4.0
2025/01/17 (12:42:54) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/17 (12:43:00) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/01/17 (12:43:07) | ===> btop++ v.1.4.0
2025/01/17 (12:43:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (12:02:55) | ===> btop++ v.1.4.0
2025/01/21 (12:02:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (12:50:30) | ===> btop++ v.1.4.0
2025/01/27 (12:50:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (15:32:44) | ===> btop++ v.1.4.0
2025/02/03 (15:32:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (15:33:03) | ===> btop++ v.1.4.0
2025/02/03 (15:33:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (10:57:52) | ===> btop++ v.1.4.0
2025/02/04 (10:57:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (15:53:10) | ===> btop++ v.1.4.0
2025/02/05 (15:53:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/06 (15:57:12) | ===> btop++ v.1.4.0
2025/02/06 (15:57:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (13:45:57) | ===> btop++ v.1.4.0
2025/02/07 (13:45:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (15:23:59) | ===> btop++ v.1.4.0
2025/02/07 (15:23:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (21:25:54) | ===> btop++ v.1.4.0
2025/02/07 (21:25:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (22:22:56) | ===> btop++ v.1.4.0
2025/02/07 (22:22:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (17:10:17) | ===> btop++ v.1.4.0
2025/02/08 (17:10:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (17:43:11) | ===> btop++ v.1.4.0
2025/02/08 (17:43:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (17:54:45) | ===> btop++ v.1.4.0
2025/02/08 (17:54:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (13:56:29) | ===> btop++ v.1.4.0
2025/02/09 (13:56:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (10:50:59) | ===> btop++ v.1.4.0
2025/02/10 (10:50:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (10:51:15) | ===> btop++ v.1.4.0
2025/02/10 (10:51:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (10:51:41) | ===> btop++ v.1.4.0
2025/02/10 (10:51:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (11:56:25) | ===> btop++ v.1.4.0
2025/02/17 (11:56:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (14:36:03) | ===> btop++ v.1.4.0
2025/02/17 (14:36:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (11:59:51) | ===> btop++ v.1.4.0
2025/02/19 (11:59:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (13:53:07) | ===> btop++ v.1.4.0
2025/02/21 (13:53:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (13:54:10) | ===> btop++ v.1.4.0
2025/02/21 (13:54:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/21 (13:54:43) | ===> btop++ v.1.4.0
2025/02/21 (13:54:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (10:27:03) | ===> btop++ v.1.4.0
2025/02/22 (10:27:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (14:51:03) | ===> btop++ v.1.4.0
2025/02/25 (14:51:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/26 (10:41:37) | ===> btop++ v.1.4.0
2025/02/26 (10:41:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (16:40:21) | ===> btop++ v.1.4.0
2025/02/27 (16:40:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (21:43:40) | ===> btop++ v.1.4.0
2025/03/01 (21:43:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (17:49:17) | ===> btop++ v.1.4.0
2025/03/03 (17:49:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (15:37:10) | ===> btop++ v.1.4.0
2025/03/08 (15:37:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (22:54:13) | ===> btop++ v.1.4.0
2025/03/08 (22:54:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (22:56:29) | ===> btop++ v.1.4.0
2025/03/08 (22:56:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (10:21:25) | ===> btop++ v.1.4.0
2025/03/11 (10:21:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (17:47:06) | ===> btop++ v.1.4.0
2025/03/12 (17:47:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (17:34:47) | ===> btop++ v.1.4.0
2025/03/13 (17:34:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (23:04:54) | ===> btop++ v.1.4.0
2025/03/15 (23:04:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (23:47:04) | ===> btop++ v.1.4.0
2025/03/19 (23:47:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (18:30:45) | ===> btop++ v.1.4.0
2025/03/22 (18:30:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (21:04:44) | ===> btop++ v.1.4.0
2025/03/23 (21:04:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (09:50:11) | ===> btop++ v.1.4.0
2025/03/30 (09:50:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (10:12:48) | ===> btop++ v.1.4.0
2025/03/30 (10:12:48) | WARNING: Intel GPU: Failed to initialize PMU
